马物名,收集品1,收集品2,收集品3,血量,心理伤害,物理伤害,法术伤害,移动,技能1,技能2,种族,定位-标签,用法
TS,望远镜,魔法书,纸笔,14,2,1,2,1,魔法书:使用法术和心理攻击造成伤害时自己可以加一点体力,,天角兽,新手向   生存型,面板平衡，要攻击牌输出，靠技能回血，攻防兼备
PP,派对炮,杯糕,蛋糕,12,2,1,1,2,神驹:每个你的回合摸牌阶段前可以看当前摸牌数+1张牌并调换顺序，放回牌堆顶部开始自己的摸牌阶段,次元壁:移动到你想要去的位置（一局一次）,陆马,辅助  干扰  收集流,面板脆，攻击弱。靠一技能获得自己回合的优势，削弱对手回合，还可以更快攒到收集品获胜。多人模式中可以辅助对友。二技能用于跑路。对新手不是很友好。
AJ,帽子,绳索,苹果,15,2,2,0,2,绳索:自己回合内可以弃两张牌让对手移动到自己可攻击范围内任意一格,,陆马,输出  坦克  新手向,面板较强，技能可使对手无法逃脱，持续输出。甚至可以用技能把对手拉进水里。
FS,宠物,乐谱,花环,13,2,1,2,1,底线:体力少于7时心理和物理伤害+1,凝视大法:每回合选择一名玩家进行一次难度为3的D6判定，如果判定成功则该角色直到下个回合的心理攻击值为0,天马,狂战士  爆发  干扰,一技能当血量少时会爆发，输出惊人。二技能用于削弱对手攻击。需要注意把控减血和爆发而且不死掉。
RD,奖杯,雷雨云,哨子,13,1,2,2,1,疾飞:每回合可以多获得一次移动的机会,彩虹音爆:打出攻击牌前可以选择自己减x点体力，x为此出牌阶段你可以出的攻击牌的数量,天马,刺客  爆发,主要用二技能输出，随时可以爆发，但需注意后果。一技能可以方便二技能导致残血时跑路或追击。
RR,衣服,镜子,线轴,12,1,2,2,1,时装:自带法术和物理防御1,,独角兽,坦克  生存型  新手向,技能可以大大减少受到的攻击，面板也比较平衡，输出正常。无论会不会玩，都是场上令人头疼的角色。
书记,法杖,魔法书,哨子,12,1,1,2,1,平等:在自己回合中，可以把一个对手的一件收集品和自己的一件互换（一局一次）,时间回溯:从牌堆里拿走上回合上家弃过的牌和弃过的装备（CD两回合一次）,独角兽,收集流  干扰  老手向,面板很弱，但可以快速获得收集品获胜。无论对方已经收集到还是当自己抽到对方收集品时，互换都可以带来巨大的优势，并让对手失利。二技能用于强化自己的回合。
师姐,镜子,魔法书,纸笔,13,1,1,2,1,穿越:当你受到攻击造成的伤害后，下轮不能成为攻击牌的目标,读心:弃掉自己所有手牌弃掉对方一件装备（收集品除外）,独角兽,生存型  干扰,面板很弱，但一技能可以极大增强生存能力。靠二技能削弱对手的攻击或防御。两个技能可以拖延时间，然后靠结算获胜。
崔嫂,天角护身符,帽子,法杖,13,2,1,2,1,魔术道具:武器和防具牌可以当作任意种伤害牌使用，效果牌可以增加一次移动机会,易碎骄傲：当你的D6判定失败时，你将受到1点心理伤害,独角兽,输出  生存型,面板正常，靠一技能稳定输出和跑路，攻防兼备
AB,纸笔,苹果,蝴蝶结,12,2,2,1,1,目标：你的回合开始前可选择并获得一个在场角色的技能或抽取不在场角色并选择获得其一个技能，回合结束时失去(获得技能的CD除按局计算的外不限),,陆马,娱乐局  全能型,面板一般。场上玩家技能强，她的技能就强，使用场上玩家的技能没有太多优势时还可以随机抽技能。
